congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,issue_code
118,House,1,1/3/23,1,2,212,222,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,2,1/3/23,1,3,212,222,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,3,1/3/23,1,4,212,222,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,4,1/4/23,1,5,212,221,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,5,1/4/23,1,6,212,221,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,6,1/4/23,1,7,212,221,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,7,1/4/23,1,8,216,214,-0.208,0.978,-0.563,-0.91,-16.26,,Passed,,On Motion to Adjourn,,
118,House,8,1/5/23,1,9,212,221,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,9,1/5/23,1,10,212,221,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,10,1/5/23,1,11,212,220,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,11,1/5/23,1,12,212,220,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,12,1/5/23,1,13,212,220,0.023,-0.045,0.716,-0.133,-0.348,,Jeffries,,Election of the Speaker,,
118,House,13,1/5/23,1,14,219,213,-0.145,0.989,-0.489,-0.523,-7.367,,Passed,,On Motion to Adjourn,,
118,House,14,1/6/23,1,15,213,218,-0.246,0.969,-0.539,-1.036,-24.309,,McCarthy,,Election of the Speaker,,
118,House,15,1/6/23,1,16,214,218,-0.236,0.972,-0.545,-0.995,-21.213,,McCarthy,,Election of the Speaker,,
118,House,16,1/6/23,1,17,220,212,0.023,-0.045,-0.716,0.133,-0.348,,Passed,,On Motion to Adjourn,,
118,House,17,1/6/23,1,18,216,216,-0.216,0.976,-0.546,-0.894,-16.078,,McCarthy,,Election of the Speaker,,
118,House,18,1/6/23,1,19,155,279,-0.007,1,-0.218,-0.517,-129.079,,Failed,,On Motion to Adjourn,,
118,House,19,1/7/23,1,20,216,212,0.024,-0.028,-0.716,0.121,-0.344,,McCarthy,,Election of the Speaker,,
118,House,20,1/9/23,1,21,211,205,0.022,-0.057,-0.716,0.141,-0.34,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Ordering the Previous Question,,Congress
118,House,21,1/9/23,1,22,210,220,0.023,-0.045,0.716,-0.133,-0.348,HRES5,Failed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Motion to Commit,,Congress
118,House,22,1/9/23,1,23,220,213,0.021,-0.355,-0.679,0.617,-7.89,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Agreeing to the Resolution,,Congress
118,House,23,1/9/23,1,24,208,221,0.022,-0.05,0.716,-0.128,-0.344,HR23,Failed,Family and Small Business Taxpayer Protection Act,On Motion to Recommit,,Taxation
118,House,24,1/9/23,1,25,221,210,0.023,-0.045,-0.716,0.133,-0.347,HR23,Passed,Family and Small Business Taxpayer Protection Act,On Passage,,Taxation
118,House,25,1/10/23,1,26,365,65,0.023,-1,-0.217,-0.803,-83.673,HRES11,Passed,Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,On Agreeing to the Resolution,,Congress
118,House,26,1/10/23,1,27,221,211,0.023,-0.045,-0.716,0.133,-0.348,HRES12,Passed,Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary,On Agreeing to the Resolution,,Congress
118,House,27,1/11/23,1,28,212,219,0.023,-0.045,0.716,-0.133,-0.348,HR26,Failed,Born-Alive Abortion Survivors Protection Act,On Motion to Recommit,,Crime and Law Enforcement
118,House,28,1/11/23,1,29,220,210,0.029,-0.248,-0.68,-0.579,-4.187,HR26,Passed,Born-Alive Abortion Survivors Protection Act,On Passage,,Crime and Law Enforcement
118,House,29,1/11/23,1,30,222,209,0.188,-0.936,-0.665,-0.706,-10.595,HCONRES3,Passed,"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches",On Agreeing to the Resolution,,Crime and Law Enforcement
118,House,30,1/12/23,1,31,331,97,-0.438,0.167,-0.37,-0.317,-85.304,HR22,Passed,Protecting America’s Strategic Petroleum Reserve from China Act,On Passage,,Energy
118,House,31,1/24/23,1,32,422,2,0,0,0,0,0,HR159,Passed,Chance to Compete Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",,Government Operations and Politics
118,House,32,1/24/23,1,33,425,0,0,0,0,0,0,HR300,Passed,Settlement Agreement Information Database Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",,Government Operations and Politics
118,House,33,1/25/23,1,34,424,4,0,0,0,0,0,HR346,Passed,NOTAM Improvement Act,"On Motion to Suspend the Rules and Pass, as Amended",,Government Operations and Politics
118,House,34,1/25/23,1,35,411,13,0.435,-0.9,0.183,-0.769,-24.748,HR400,Passed,Investing in Main Street Act,On Motion to Suspend the Rules and Pass,,Commerce
118,House,35,1/25/23,1,36,420,1,0,0,0,0,0,HCONRES7,Passed,"Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regime’s human rights abuses","On Motion to Suspend the Rules and Agree to the Resolution, as Amended",,International Affairs
118,House,36,1/26/23,1,37,205,220,0.177,-0.41,0.656,1.246,-14.625,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,37,1/26/23,1,38,213,218,0.099,0.09,0.682,0.526,-1.708,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,38,1/26/23,1,39,214,219,0.065,0.157,0.507,1.229,-13.348,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,39,1/26/23,1,40,214,219,0.193,-0.119,0.53,1.166,-9.979,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,40,1/26/23,1,41,389,42,0.58,-0.686,0.165,-0.305,-92.056,HR21,Agreed to,,On Agreeing to the Amendment,,Energy
118,House,41,1/26/23,1,42,14,418,-0.952,-0.306,0.389,1.075,-37.597,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,42,1/26/23,1,43,213,218,0.103,0.084,0.696,-0.443,-6.47,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,43,1/26/23,1,44,220,212,0.341,-0.94,-0.371,-0.471,-35.475,HR21,Agreed to,,On Agreeing to the Amendment,,Energy
118,House,44,1/26/23,1,45,213,218,0.262,-0.314,0.582,1.248,-16.672,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,45,1/26/23,1,46,212,218,0.137,-0.035,0.533,1.164,-10.426,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,46,1/26/23,1,47,205,225,0.188,-0.304,0.495,1.253,-19.367,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,47,1/26/23,1,48,213,218,0.137,-0.035,0.533,1.164,-10.426,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,48,1/26/23,1,49,213,218,0.174,-0.091,0.531,1.166,-9.512,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,49,1/26/23,1,50,213,219,0.137,-0.035,0.533,1.164,-10.426,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,50,1/26/23,1,51,210,222,0.269,-0.885,0.627,0.839,-11.687,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,51,1/26/23,1,52,213,219,0.112,-0.096,0.609,0.932,-5.027,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,52,1/26/23,1,53,213,219,0.076,0,0.624,0.913,-4.151,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,53,1/26/23,1,54,197,235,0.064,-0.114,0.435,1.375,-30.386,HR21,Failed,,On Agreeing to the Amendment,,Energy
118,House,54,1/26/23,1,55,212,220,-0.04,0.196,0.71,0.234,-3.044,HR21,Failed,,On Agreeing to the Amendment,,Energy
